UserID,UserName,Age,Gender,Email,Experience,Expertise,TeacherRating,CourseRating
U00081,smithdanny,18,Female,martinrhonda@yahoo.com,7,Machine Learning,3.85,3.45
U00082,susankidd,31,Male,jasonhicks@yahoo.com,9,Cyber Security,4.75,4.63
U00083,james92,16,Male,kconrad@gmail.com,8,Data Science,4.92,4.47
U00084,xperez,20,Male,ericafrank@yahoo.com,1,Data Science,3.96,3.91
U00085,scottluna,22,Female,adam86@yahoo.com,8,Web Dev,3.9,3.67
U00086,nicole62,27,Female,anewton@yahoo.com,8,Data Science,3.92,3.48
U00087,sjoseph,19,Female,jacqueline74@yahoo.com,3,Web Dev,3.92,3.6
U00088,tgarcia,23,Male,debrawilson@yahoo.com,1,Cyber Security,3.55,3.34
U00089,austinspears,30,Male,browningjennifer@hotmail.com,8,Cyber Security,4.89,4.74
U00090,sethchavez,34,Male,teresa45@outlook.com,3,Machine Learning,3.82,3.63
U00091,joseph88,35,Male,owenspatricia@gmail.com,3,Machine Learning,4.13,3.88
U00092,carl44,31,Male,sabrina47@yahoo.com,1,Machine Learning,3.51,3.35
U00093,sextonelizabeth,16,Male,thomas52@gmail.com,5,Data Science,4.79,4.31
U00094,qtaylor,27,Male,vasquezdavid@yahoo.com,10,Cyber Security,4.6,4.13
U00095,ojohnson,20,Male,chloe04@yahoo.com,7,Web Dev,4.92,4.48
U00096,wesley99,34,Female,xdavis@hotmail.com,10,Machine Learning,4.67,4.46
U00097,donnawilliams,25,Male,guzmanchristine@gmail.com,9,Web Dev,3.97,3.62
U00098,sarah43,31,Male,natasha16@yahoo.com,7,Web Dev,3.87,3.42
U00099,wharrison,29,Female,robertsshawn@yahoo.com,9,Machine Learning,4.55,4.12
U00100,swallace,32,Female,douglascampbell@outlook.com,8,Cyber Security,4.05,3.84
U00101,rosejames,15,Female,wilcoxrita@yahoo.com,2,Machine Learning,4.35,4.29
U00102,vweiss,32,Male,cherylking@yahoo.com,1,Web Dev,3.51,3.47
U00103,felicia29,30,Female,ssims@hotmail.com,7,Machine Learning,3.59,3.3
U00104,diazsara,19,Male,mosschad@yahoo.com,7,Web Dev,4.3,3.98
U00105,smithjacqueline,27,Male,robinfranklin@outlook.com,8,Web Dev,4.35,3.93
U00106,sharonmurphy,19,Male,cathy60@yahoo.com,5,Machine Learning,4.63,4.48
U00107,hayley84,18,Female,wwood@hotmail.com,3,Data Science,3.7,3.62
U00108,jowen,32,Male,jasonjordan@yahoo.com,8,Machine Learning,4.27,4.08
U00109,amyschmidt,15,Female,alicia06@yahoo.com,6,Data Science,3.79,3.61
U00110,thorntondaniel,26,Female,kellywilson@hotmail.com,3,Web Dev,3.64,3.57
U00111,cynthia90,24,Male,kayla61@outlook.com,1,Web Dev,4.12,3.78
U00112,williamswilliam,34,Female,qmiller@yahoo.com,3,Data Science,3.75,3.5
U00113,becky55,19,Male,lclark@hotmail.com,5,Web Dev,3.83,3.47
U00114,lvasquez,22,Female,markwilliams@hotmail.com,3,Data Science,3.98,3.8
U00115,mitchellswanson,32,Female,danielmathews@hotmail.com,1,Data Science,3.89,3.73
U00116,schultzaustin,31,Male,psmith@outlook.com,5,Web Dev,3.63,3.39
U00117,kristin26,19,Female,megan10@gmail.com,10,Cyber Security,3.63,3.19
U00118,morankevin,28,Female,marquezwilliam@hotmail.com,7,Data Science,3.79,3.77
U00119,phillipsrobert,28,Male,wlee@yahoo.com,7,Machine Learning,3.58,3.18
U00120,faguilar,15,Male,ashley54@gmail.com,9,Machine Learning,4.44,4.26
U00121,htanner,27,Female,donaldbrennan@hotmail.com,10,Web Dev,3.93,3.5
U00122,derekgreer,21,Female,elizabeth42@gmail.com,10,Cyber Security,3.92,3.52
U00123,richardsonjames,18,Female,dillonleslie@outlook.com,3,Web Dev,4.0,3.83
U00124,christinagilbert,19,Female,brendanaustin@yahoo.com,7,Cyber Security,4.49,4.14
U00125,michelle70,35,Female,simsbruce@yahoo.com,1,Data Science,4.81,4.73
U00126,zhall,23,Female,juliecervantes@yahoo.com,4,Data Science,4.64,4.19
U00127,brian60,34,Female,annablair@hotmail.com,4,Data Science,4.59,4.39
U00128,misty15,35,Female,thomasharris@yahoo.com,5,Data Science,4.23,4.0
U00129,sabrinawilson,19,Male,alvaradokevin@gmail.com,7,Machine Learning,4.54,4.19
U00130,eherring,17,Male,joshua83@yahoo.com,7,Machine Learning,4.33,3.92
U00131,chelsea48,19,Male,stephaniedougherty@gmail.com,4,Web Dev,3.82,3.7
U00132,kathysharp,22,Male,sean85@yahoo.com,7,Cyber Security,3.81,3.48
U00133,mccarthyscott,21,Male,raymondthomas@gmail.com,3,Data Science,3.94,3.74
U00134,syoung,26,Female,kroy@gmail.com,6,Data Science,4.87,4.69
U00135,josephmichael,17,Female,clarknicholas@gmail.com,2,Cyber Security,4.32,3.97
U00136,millerleslie,25,Female,william31@gmail.com,10,Cyber Security,4.6,4.41
U00137,lawrencesanchez,15,Female,donaldtaylor@outlook.com,9,Web Dev,4.02,3.85
U00138,sarafuentes,26,Male,ugonzales@gmail.com,5,Cyber Security,4.11,3.69
U00139,qharrell,16,Female,daniel87@yahoo.com,6,Data Science,3.69,3.64
U00140,william81,24,Female,ewalker@hotmail.com,4,Data Science,3.76,3.42
U00141,jenkinswilliam,20,Male,nicolerodriguez@gmail.com,10,Data Science,4.74,4.62
U00142,brian08,17,Female,stephenhenry@gmail.com,7,Data Science,4.38,4.37
U00143,sherri37,26,Male,lopezbrian@outlook.com,9,Data Science,4.01,3.93
U00144,rodgerspaul,24,Female,amy66@hotmail.com,7,Web Dev,4.7,4.4
U00145,shawnbrown,23,Female,amandasingh@yahoo.com,1,Data Science,3.87,3.52
U00146,ihernandez,30,Female,rgarcia@outlook.com,1,Web Dev,4.96,4.95
U00147,patricklaura,30,Male,barbarapatterson@yahoo.com,9,Data Science,4.02,4.0
U00148,andersenmichael,35,Female,rsmith@outlook.com,9,Machine Learning,4.01,3.56
U00149,jacksonanthony,17,Female,yspencer@gmail.com,4,Machine Learning,3.97,3.93
U00150,nsmith,25,Male,zjefferson@gmail.com,9,Machine Learning,3.68,3.23
U00151,johnjohnson,16,Female,heathrodney@hotmail.com,3,Machine Learning,3.67,3.56
U00152,hhill,19,Female,keith03@outlook.com,7,Web Dev,4.47,4.1
U00153,scottgilbert,35,Male,sextondillon@yahoo.com,6,Web Dev,4.81,4.66
U00154,jessicabailey,29,Male,colleen99@outlook.com,8,Cyber Security,4.69,4.26
U00155,browningstephanie,27,Male,cindy51@gmail.com,9,Data Science,3.71,3.36
U00156,phill,17,Male,natalie68@outlook.com,5,Machine Learning,4.32,4.12
U00157,derek60,32,Female,dhall@hotmail.com,1,Web Dev,3.66,3.62
U00158,nicholas56,35,Female,lisa06@yahoo.com,3,Data Science,3.57,3.2
U00159,rodriguezraymond,16,Male,richardsonwilliam@yahoo.com,10,Data Science,4.48,4.17
U00160,kingspencer,28,Female,gillvalerie@yahoo.com,8,Web Dev,4.3,4.3
U00161,lawrence17,25,Female,tstone@outlook.com,6,Machine Learning,3.62,3.62
U00162,charlesayala,26,Male,kmyers@gmail.com,8,Cyber Security,3.55,3.15
U00163,clinejacqueline,32,Female,johnsonshelly@hotmail.com,9,Data Science,4.98,4.85
U00164,james63,32,Male,jessica46@outlook.com,4,Cyber Security,3.55,3.23
U00165,wcarroll,30,Male,angela19@hotmail.com,1,Machine Learning,4.17,3.94
U00166,campbellkelsey,33,Male,hinesjoshua@gmail.com,1,Machine Learning,4.26,3.83
U00167,rogersjohn,31,Female,jonathan94@hotmail.com,10,Cyber Security,3.68,3.22
U00168,gillespiekimberly,24,Female,michael38@outlook.com,4,Machine Learning,3.75,3.25
U00169,vasquezjohn,24,Male,youngmaurice@yahoo.com,7,Data Science,4.03,3.95
U00170,millerdavid,34,Female,mark06@hotmail.com,2,Cyber Security,4.64,4.21
U00171,egardner,24,Male,obrienmolly@outlook.com,3,Machine Learning,4.26,4.13
U00172,nglass,35,Female,charleshernandez@hotmail.com,1,Cyber Security,4.46,4.16
U00173,fernando38,31,Male,patriciagarcia@gmail.com,5,Data Science,4.98,4.73
U00174,michelle60,29,Male,sgriffith@yahoo.com,1,Machine Learning,4.65,4.64
U00175,xlambert,32,Female,leonardlisa@gmail.com,8,Data Science,4.15,3.68
U00176,gary81,34,Male,jameshartman@hotmail.com,1,Machine Learning,4.17,4.13
U00177,torreschristine,29,Female,adriana95@yahoo.com,1,Web Dev,4.43,4.09
U00178,gonzaleslisa,20,Male,robertspencer@outlook.com,2,Machine Learning,4.5,4.11
U00179,mariaavila,34,Male,tpineda@outlook.com,2,Cyber Security,4.25,3.85
U00180,xglenn,26,Female,bruce16@hotmail.com,6,Machine Learning,4.47,4.4
U00181,stephanie98,32,Female,angela26@yahoo.com,7,Data Science,3.54,3.32
U00182,nancyibarra,28,Female,rmadden@gmail.com,5,Data Science,4.14,3.73
U00183,christopherhall,33,Male,virginia17@outlook.com,1,Machine Learning,3.92,3.77
U00184,kroth,28,Male,nrhodes@hotmail.com,1,Cyber Security,3.69,3.46
U00185,jwalls,27,Male,carrillomichael@outlook.com,3,Web Dev,3.65,3.51
U00186,alexbrown,28,Female,nortonlisa@outlook.com,2,Cyber Security,4.4,4.17
U00187,taylor05,18,Male,staceygiles@hotmail.com,5,Web Dev,4.29,3.85
U00188,robertsedward,18,Male,wschmidt@gmail.com,10,Data Science,3.88,3.65
U00189,latoya45,18,Male,normangabriela@hotmail.com,6,Cyber Security,4.21,3.93
U00190,hroberts,25,Female,hcabrera@yahoo.com,7,Web Dev,4.24,4.04
U00191,foleypaul,34,Male,jeremycole@gmail.com,4,Machine Learning,3.79,3.56
U00192,nathanieldorsey,17,Male,briannarichardson@yahoo.com,7,Data Science,4.48,4.47
U00193,stevenjames,33,Male,carriedrake@yahoo.com,8,Machine Learning,4.67,4.53
U00194,carolynpage,35,Male,jacksonandrew@outlook.com,1,Data Science,4.69,4.47
U00195,stewartlisa,15,Male,powens@outlook.com,6,Cyber Security,4.4,4.08
U00196,susan34,23,Female,alexandragreen@outlook.com,8,Cyber Security,4.27,4.04
U00197,parksderek,35,Female,michaelwallace@hotmail.com,5,Data Science,3.59,3.42
U00198,brian71,30,Female,lewismargaret@hotmail.com,4,Data Science,3.93,3.74
U00199,millerstephanie,24,Female,davisjeremy@gmail.com,2,Data Science,3.64,3.52
U00200,ronald67,32,Male,bobbymurphy@outlook.com,6,Cyber Security,4.95,4.49
U00201,yalvarado,16,Male,orosales@gmail.com,6,Web Dev,3.7,3.44
U00202,awilson,28,Female,harrisrichard@yahoo.com,1,Machine Learning,3.73,3.72
U00203,samantha00,25,Female,ybyrd@yahoo.com,9,Machine Learning,4.83,4.82
U00204,loribates,28,Female,robertmitchell@gmail.com,6,Cyber Security,4.92,4.43
U00205,christinecampbell,32,Male,markmahoney@outlook.com,3,Machine Learning,4.65,4.54
U00206,lisa94,19,Female,morriscindy@outlook.com,4,Data Science,3.51,3.11
U00207,evelyn98,33,Male,carsonjamie@yahoo.com,4,Web Dev,3.5,3.47
U00208,kingrobin,18,Female,jamesholt@yahoo.com,3,Machine Learning,4.07,3.61
U00209,parkssarah,26,Male,padillakathy@hotmail.com,10,Web Dev,3.72,3.28
U00210,mscott,30,Male,umitchell@hotmail.com,3,Data Science,3.53,3.24
U00211,maryspencer,22,Male,amandabrown@gmail.com,3,Machine Learning,4.2,4.2
U00212,mike97,30,Female,loriknight@yahoo.com,4,Cyber Security,4.91,4.78
U00213,susan03,15,Male,serranotammy@hotmail.com,7,Web Dev,3.99,3.79
U00214,danielle41,24,Female,annaparker@gmail.com,4,Data Science,4.49,4.26
U00215,sandra29,28,Male,hatfieldmark@hotmail.com,9,Web Dev,4.48,4.33
U00216,taylorelizabeth,23,Male,peckamy@outlook.com,1,Machine Learning,3.88,3.86
U00217,garychandler,28,Male,carla25@outlook.com,8,Machine Learning,4.48,4.18
U00218,gregory81,15,Female,lisa37@hotmail.com,7,Cyber Security,3.82,3.56
U00219,daniellebishop,23,Female,josephlawrence@outlook.com,2,Data Science,3.68,3.54
U00220,laura88,20,Male,dlewis@hotmail.com,8,Data Science,4.55,4.53
U00221,lgallagher,27,Male,youngtammy@gmail.com,1,Cyber Security,3.67,3.17
U00222,bentonkatrina,28,Male,flowe@outlook.com,9,Cyber Security,5.0,4.76
U00223,patricia65,35,Female,yolandaglenn@outlook.com,9,Data Science,3.78,3.4
U00224,denisebailey,15,Female,devin32@gmail.com,2,Web Dev,4.39,4.16
U00225,sheila72,18,Male,fpark@yahoo.com,7,Web Dev,4.12,4.1
U00226,marioperez,34,Female,jdougherty@hotmail.com,10,Cyber Security,3.69,3.54
U00227,victoria90,23,Male,alyssahoward@gmail.com,3,Web Dev,3.54,3.38
U00228,joshuarangel,18,Male,jaredpeters@yahoo.com,7,Data Science,4.43,4.01
U00229,charles00,22,Male,nielsenelizabeth@gmail.com,10,Machine Learning,4.71,4.38
U00230,karen41,17,Female,swansonlisa@hotmail.com,9,Machine Learning,4.76,4.62
U00231,rodgersdaniel,16,Male,richard17@hotmail.com,4,Web Dev,4.22,3.74
U00232,timothywatkins,26,Female,lisarodriguez@yahoo.com,1,Cyber Security,4.67,4.51
U00233,robinsonmichael,32,Male,virginiataylor@outlook.com,2,Cyber Security,4.51,4.01
U00234,emily05,32,Male,whuynh@outlook.com,1,Cyber Security,4.59,4.09
U00235,williamscharles,34,Male,joneschristopher@outlook.com,5,Cyber Security,4.24,4.14
U00236,colin32,25,Female,vmora@yahoo.com,5,Cyber Security,4.45,4.29
U00237,anthony70,20,Male,meghan00@gmail.com,7,Web Dev,4.71,4.47
U00238,joshuaescobar,24,Female,isaiahwest@outlook.com,9,Machine Learning,4.1,3.77
U00239,vberg,32,Female,angelagonzalez@outlook.com,9,Machine Learning,4.71,4.45
U00240,ismith,34,Female,sullivansean@hotmail.com,3,Web Dev,4.39,3.91
U00241,thomascummings,23,Female,brandyjones@yahoo.com,3,Cyber Security,3.75,3.39
U00242,wernerjesus,27,Male,joe20@gmail.com,3,Web Dev,3.54,3.43
U00243,thomastimothy,24,Female,upennington@gmail.com,4,Machine Learning,4.04,3.99
U00244,josemartinez,28,Male,rebeccalamb@outlook.com,8,Data Science,4.32,3.98
U00245,twilson,31,Female,kimberly44@gmail.com,6,Web Dev,4.76,4.68
U00246,william30,31,Male,jennifer12@gmail.com,8,Cyber Security,3.69,3.3
U00247,edwardsadam,30,Female,jessicaadams@gmail.com,1,Machine Learning,4.7,4.54
U00248,christopher76,17,Male,kaylafuentes@yahoo.com,8,Machine Learning,4.79,4.63
U00249,donaldmccoy,35,Female,zparsons@hotmail.com,4,Machine Learning,3.73,3.72
U00250,gregorypierce,21,Male,mark81@hotmail.com,1,Machine Learning,4.78,4.43
U00251,summersjamie,28,Female,daniel37@outlook.com,8,Cyber Security,4.99,4.93
U00252,millermary,29,Female,jasonnelson@hotmail.com,4,Data Science,4.59,4.2
U00253,ymcgrath,19,Male,steven91@gmail.com,6,Machine Learning,4.68,4.43
U00254,yatesadrian,19,Female,josephgraham@hotmail.com,8,Web Dev,4.99,4.6
U00255,fschmidt,26,Female,zharper@gmail.com,4,Data Science,4.41,4.12
U00256,pearsonannette,35,Female,humphreyjennifer@gmail.com,3,Machine Learning,3.96,3.92
U00257,danielle50,29,Male,jennifer70@outlook.com,9,Data Science,4.76,4.38
U00258,marilynbailey,19,Male,paulkeller@gmail.com,3,Web Dev,4.42,4.39
U00259,jennifershaw,35,Male,christopher75@gmail.com,9,Machine Learning,4.37,4.13
U00260,heather26,35,Male,denisesmith@yahoo.com,2,Web Dev,3.88,3.79
U00261,darrell83,28,Female,walkerjames@gmail.com,2,Cyber Security,4.63,4.25
U00262,dawnsawyer,24,Male,robertpotter@gmail.com,2,Machine Learning,3.62,3.16
U00263,chapmanjennifer,15,Male,brucejacqueline@gmail.com,6,Machine Learning,4.89,4.61
U00264,mmullen,18,Female,wrightmargaret@outlook.com,3,Machine Learning,3.99,3.73
U00265,william96,15,Male,kristenmaxwell@hotmail.com,9,Machine Learning,3.69,3.31
U00266,fstephens,25,Female,omann@hotmail.com,4,Cyber Security,4.16,4.16
U00267,amandataylor,34,Male,colemanjennifer@outlook.com,1,Machine Learning,3.56,3.1
U00268,donna26,29,Female,andrewmorris@gmail.com,4,Data Science,4.53,4.43
U00269,brandonharper,22,Female,laura67@yahoo.com,1,Machine Learning,4.85,4.36
U00270,karenpratt,23,Male,reyesmorgan@outlook.com,5,Cyber Security,4.76,4.39
U00271,ldurham,15,Male,martinezrenee@yahoo.com,4,Machine Learning,3.69,3.3
U00272,wvasquez,25,Male,ashley40@yahoo.com,8,Data Science,3.69,3.36
U00273,wattsphilip,25,Female,jessicabrown@hotmail.com,8,Cyber Security,4.72,4.48
U00274,john92,32,Female,tcole@outlook.com,7,Cyber Security,4.89,4.6
U00275,benjaminmendoza,28,Female,stevenroberts@gmail.com,3,Data Science,4.19,4.17
U00276,cassandrayoung,22,Female,hilljames@outlook.com,1,Data Science,4.25,3.94
U00277,oriddle,21,Male,jeremy92@hotmail.com,1,Data Science,3.98,3.67
U00278,erikayoung,27,Male,cynthia53@hotmail.com,3,Data Science,4.84,4.39
U00279,mackenzie39,24,Male,hdavis@gmail.com,6,Data Science,4.47,4.22
U00280,psnyder,15,Male,josephtammy@hotmail.com,7,Cyber Security,3.93,3.89
U00281,bailey28,30,Female,christopher14@yahoo.com,6,Cyber Security,3.95,3.8
U00282,eandrews,19,Male,jeremy00@outlook.com,6,Machine Learning,4.84,4.51
U00283,mryan,28,Male,xcordova@hotmail.com,6,Machine Learning,3.52,3.4
U00284,gallaghergregory,30,Male,emily63@hotmail.com,3,Web Dev,3.98,3.84
U00285,lunabrandon,29,Female,andersonjessica@outlook.com,6,Machine Learning,4.33,3.92
U00286,angelaclark,24,Female,ejackson@hotmail.com,8,Machine Learning,3.72,3.43
U00287,rkennedy,21,Female,syork@hotmail.com,2,Data Science,3.64,3.39
U00288,michellemartin,35,Male,brooksjeffrey@outlook.com,5,Data Science,4.72,4.56
U00289,christopher37,17,Female,johnsonchad@hotmail.com,1,Machine Learning,4.84,4.47
U00290,frankalvarado,17,Female,alex83@hotmail.com,1,Web Dev,4.74,4.6
U00291,nicholas62,16,Female,ygomez@hotmail.com,5,Data Science,4.85,4.48
U00292,andrewbrown,33,Male,natalie44@gmail.com,3,Machine Learning,4.33,4.29
U00293,brian93,25,Female,reyesangela@gmail.com,4,Machine Learning,4.72,4.29
U00294,traceybrown,21,Female,john01@gmail.com,3,Cyber Security,4.08,3.83
U00295,jean02,29,Male,mark44@gmail.com,1,Web Dev,4.5,4.28
U00296,marshallolivia,31,Female,bassjustin@gmail.com,1,Cyber Security,4.98,4.67
U00297,mgarrett,29,Male,dclayton@hotmail.com,5,Web Dev,3.84,3.53
U00298,steven02,32,Male,torresjoseph@outlook.com,6,Data Science,4.08,4.01
U00299,vincentadam,20,Female,mgreer@hotmail.com,3,Web Dev,4.22,3.84
U00300,anthonyhess,26,Female,meagansalas@gmail.com,9,Machine Learning,3.71,3.57
U00301,shale,26,Male,zprice@gmail.com,5,Machine Learning,3.62,3.17
U00302,nelsonsamantha,34,Female,vjackson@yahoo.com,8,Web Dev,4.74,4.33
U00303,fcollins,35,Male,benjamin32@yahoo.com,1,Web Dev,4.97,4.8
U00304,lucaswilliam,35,Male,michael33@outlook.com,5,Web Dev,4.11,3.71
U00305,ypeters,22,Male,jacquelinegonzalez@yahoo.com,3,Cyber Security,3.63,3.45
U00306,aaronfrazier,28,Male,jsimmons@yahoo.com,1,Web Dev,3.6,3.55
U00307,orichardson,33,Female,kevinrobinson@hotmail.com,4,Data Science,4.84,4.36
U00308,carrollwalter,26,Male,kimberly41@gmail.com,5,Cyber Security,4.2,3.87
U00309,gilbertjoseph,27,Male,jenny26@gmail.com,7,Cyber Security,3.98,3.75
U00310,davidbarrera,26,Female,aray@yahoo.com,1,Web Dev,4.21,4.01
U00311,mandy48,18,Female,mcfarlandangela@gmail.com,3,Data Science,3.98,3.82
U00312,hallerin,30,Female,jflores@outlook.com,2,Cyber Security,4.23,3.74
U00313,qsmith,29,Female,anngrant@gmail.com,9,Machine Learning,4.79,4.72
U00314,tgonzalez,19,Female,carmen64@gmail.com,10,Cyber Security,4.39,4.23
U00315,stephanie14,31,Female,desireereese@gmail.com,6,Web Dev,4.54,4.3
U00316,jasonjohnston,19,Female,umatthews@gmail.com,10,Data Science,4.05,3.81
U00317,williamscaroline,19,Male,dcunningham@hotmail.com,3,Web Dev,4.61,4.37
U00318,dudleyaimee,20,Male,brian51@yahoo.com,8,Machine Learning,4.5,4.41
U00319,ysmith,15,Female,josephclark@hotmail.com,8,Machine Learning,3.68,3.61
